"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL562554";"";"0";"484.62";"0";"1.90";"28";"CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC)cc13)N(C)S(=O)(=O)CC2";"IC50";"'='";"1260.0";"nM";"5.90";"";"";"UO_0000065";"12.17";"0.24";"4.00";"5.69";"0";"CHEMBL1035559";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158445";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL561961";"";"0";"552.74";"1";"3.61";"26";"CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(C)S(=O)(=O)CC2";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"12.08";"0.23";"3.07";"6.44";"0";"CHEMBL1035559";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158445";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL3707004";"";"0";"527.69";"1";"1.57";"19";"CCN1CCN2CCS(=O)(=O)N(C)c3cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc1c32";"IC50";"'='";"16220.0";"nM";"4.79";"";"";"UO_0000065";"9.08";"0.18";"3.22";"4.55";"0";"CHEMBL1035559";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158445";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL534410";"";"0";"498.65";"0";"2.29";"14";"CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C";"IC50";"'='";"1140.0";"nM";"5.94";"";"";"UO_0000065";"11.92";"0.23";"3.65";"5.73";"0";"CHEMBL726630";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158411";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL255192";"";"0";"589.78";"1";"3.54";"25";"C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(N2CCCC2)cc(N2CCCC2=O)c1)C(=O)NC1CCCCC1";"IC50";"'='";"8793.0";"nM";"5.06";"";"";"UO_0000065";"8.57";"0.16";"1.52";"4.43";"0";"CHEMBL931964";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143153";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1210345";"";"0";"636.82";"1";"3.92";"24";"COc1ccc(N(c2cccc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN[C@@H](C)C(=O)NC3CCCCC3)c2)S(C)(=O)=O)cc1";"IC50";"'='";"435.0";"nM";"6.36";"";"";"UO_0000065";"9.99";"0.19";"2.44";"4.64";"0";"CHEMBL1211666";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208699";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1210431";"";"0";"565.78";"2";"5.29";"47";"CC(C)CCCC(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1";"IC50";"'='";"780.0";"nM";"6.11";"";"";"UO_0000065";"10.80";"0.21";"0.82";"6.19";"0";"CHEMBL1211666";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208699";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1210432";"";"0";"535.71";"1";"4.41";"48";"CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CCCCC2)c1";"IC50";"'='";"3243.0";"nM";"5.49";"";"";"UO_0000065";"10.25";"0.20";"1.08";"5.56";"0";"CHEMBL1211666";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208699";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1210362";"";"0";"687.78";"2";"6.96";"44";"CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(-c2ccccc2)c1";"IC50";"'='";"68.0";"nM";"7.17";"";"";"UO_0000065";"10.42";"0.20";"0.21";"7.26";"0";"CHEMBL1211666";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208699";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1210329";"";"0";"606.79";"1";"3.91";"4";"C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1";"IC50";"'='";"655.0";"nM";"6.18";"";"";"UO_0000065";"10.19";"0.20";"2.27";"4.84";"0";"CHEMBL1211666";"Inhibition of BACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2525";"Beta secretase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208699";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
