"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL134268";"";"0";"424.50";"0";"2.97";"18";"CC(C)(CNC(=O)c1ccccc1)C(=O)OC(=O)C(C)(C)CNC(=O)c1ccccc1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"15.95";"0.30";"3.80";"6.66";"0";"CHEMBL661887";"Inhibitory activity against human leukocyte cathepsin G (h-CG)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132518";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL60244";"";"0";"343.85";"0";"3.54";"7";"O=C(CCCc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)CCl";"IC50";"'='";"42000.0";"nM";"4.38";"";"";"UO_0000065";"12.73";"0.25";"0.84";"9.48";"0";"CHEMBL661889";"Inhibitory activity against human leukocyte cathepsin G";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2000";"None";""
"CHEMBL1807530";"";"0";"346.39";"0";"3.48";"30";"O=C(O)CCn1c(=O)n(Cc2cccc3ccccc23)c2ccccc21";"IC50";"'>'";"10.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1811508";"Inhibition of human cathepsin G after 1 hr by fluorometric assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806403";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL163736";"";"0";"670.70";"2";"7.12";"17c";"CN(CC(=O)NCC(c1ccccc1)c1ccccc1)C(=O)c1cc2ccccc2cc1C(=O)C(c1cccc2ccccc12)P(=O)(O)O";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"9.39";"0.18";"-0.82";"5.08";"0";"CHEMBL661888";"Inhibitory activity against human Cathepsin G";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148408";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL40292";"";"0";"282.30";"0";"2.83";"28b";"CCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O";"IC50";"'='";"25000.0";"nM";"4.60";"";"";"UO_0000065";"16.30";"0.30";"1.77";"6.17";"0";"CHEMBL661880";"Inhibition of Cathepsin G (CatG)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125455";"1";"Scientific Literature";"J. Med. Chem.";"1992";"None";""
"CHEMBL303300";"";"0";"357.88";"0";"3.93";"8";"O=C(CCCCc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)CCl";"IC50";"'='";"12000.0";"nM";"4.92";"";"";"UO_0000065";"13.75";"0.27";"0.99";"10.66";"0";"CHEMBL661889";"Inhibitory activity against human leukocyte cathepsin G";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2000";"None";""
"CHEMBL40849";"";"0";"254.24";"0";"2.18";"28a";"Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O";"IC50";"'='";"55000.0";"nM";"4.26";"";"";"UO_0000065";"16.75";"0.31";"2.08";"5.71";"0";"CHEMBL661880";"Inhibition of Cathepsin G (CatG)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125455";"1";"Scientific Literature";"J. Med. Chem.";"1992";"None";""
"CHEMBL1319362";"HOMATROPINE HYDROBROMIDE";"4";"356.26";"0";"1.89";"HOMATROPINE HYDROBROMIDE";"Br.CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909194";"DRUGMATRIX: Protease, Cathepsin G enzyme inhibition (substrate: Suc-Ala-Ala-Pro-Phe-AMC)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Neutrophil";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308052";""
"CHEMBL828";"PHENOTHIAZINE";"0";"199.28";"0";"3.89";"PHENOTHIAZINE";"c1ccc2c(c1)Nc1ccccc1S2";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909194";"DRUGMATRIX: Protease, Cathepsin G enzyme inhibition (substrate: Suc-Ala-Ala-Pro-Phe-AMC)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Neutrophil";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308052";""
"CHEMBL1371937";"PANTHENOL";"3";"205.25";"0";"-1.14";"PANTHENOL";"CC(C)(CO)C(O)C(=O)NCCCO";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909194";"DRUGMATRIX: Protease, Cathepsin G enzyme inhibition (substrate: Suc-Ala-Ala-Pro-Phe-AMC)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Neutrophil";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308052";""
