"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL216110";"";"0";"495.65";"1";"0.77";"27";"CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C";"IC50";"'='";"26000.0";"nM";"4.58";"";"";"UO_0000065";"9.25";"0.18";"3.82";"2.56";"0";"CHEMBL907635";"Inhibition of factor 11a";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138224";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL380455";"";"0";"325.44";"0";"0.91";"3a";"CC(C)CC(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1";"IC50";"'='";"123000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL854192";"Inhibition of F11a";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148656";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL215750";"";"0";"403.21";"None";"None";"10";"CC1(C)OB(c2ccc(CCN=C(N)N)cc2)OC1(C)C.O=C(O)C(F)(F)F";"IC50";"'='";"7300.0";"nM";"5.14";"";"";"UO_0000065";"17.76";"None";"None";"None";"0";"CHEMBL909746";"Inhibition of f11a";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149506";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL383007";"";"0";"395.49";"0";"2.54";"3e";"N=C(N)NCCC[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)c1nccs1";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL854192";"Inhibition of F11a";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148656";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL1812011";"";"0";"572.48";"2";"3.84";"15";"COC(=O)c1c(C)oc2cc(OC)c(OCc3oc4cc(OC)c(OS(=O)(=O)[O-])cc4c3C(=O)OC)cc12.[Na+]";"IC50";"'='";"9700.0";"nM";"5.01";"";"";"UO_0000065";"9.11";"0.18";"1.17";"2.95";"0";"CHEMBL3271292";"Inhibition of full-length human factor-11a-mediated S-2366 hydrolysis preincubated for 10 mins followed by substrate addition by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259627";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL2396784";"";"0";"834.74";"3";"6.74";"23";"CCOC(=O)c1c(C)oc2cc(OC)c(OCc3oc4cc(OC)c(OCc5oc6cc(OC)c(OS(=O)(=O)[O-])cc6c5C(=O)OC)cc4c3C(=O)OCC)cc12.[Na+]";"IC50";"'='";"14900.0";"nM";"4.83";"";"";"UO_0000065";"5.94";"0.12";"-1.91";"2.12";"0";"CHEMBL3271292";"Inhibition of full-length human factor-11a-mediated S-2366 hydrolysis preincubated for 10 mins followed by substrate addition by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259627";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL2396790";"";"0";"860.77";"3";"7.30";"28";"C=CCOC(=O)c1c(C)oc2cc(OC)c(OCc3oc4cc(OC)c(OCc5oc6cc(OC)c(OS(=O)(=O)[O-])cc6c5C(=O)OCC)cc4c3C(=O)OCC)cc12.[Na+]";"IC50";"'='";"29900.0";"nM";"4.52";"";"";"UO_0000065";"5.39";"0.10";"-2.78";"1.98";"0";"CHEMBL3271292";"Inhibition of full-length human factor-11a-mediated S-2366 hydrolysis preincubated for 10 mins followed by substrate addition by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259627";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL2338554";"Symplostatin 5";"0";"1022.12";"None";"None";"1";"C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+]";"IC50";"'<'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2340443";"Inhibition of Factor-11a (unknown origin) using (Boc-Glu(OBzl)-Ala-Arg)-MCA substrate incubated for 15 mins prior to substrate addition measured for 2 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331221";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None";""
"CHEMBL384180";"";"0";"275.16";"None";"None";"7";"CC1(C)OB(c2ccc(CN=C(N)N)cc2)OC1(C)C";"IC50";"'='";"24700.0";"nM";"4.61";"";"";"UO_0000065";"16.74";"None";"None";"None";"0";"CHEMBL909746";"Inhibition of f11a";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149506";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL1289860";"";"0";"563.16";"1";"4.34";"24";"CC(C)C[C@@H]1NC(=O)[C@@H](C2CCCCC2)NS(=O)(=O)CC/C=C/Cc2[nH]c3ccc(Cl)cc3c2CNC1=O";"IC50";"'='";"767800.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1290972";"Inhibition of factor 11a";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2820";"Coagulation factor XI";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1287717";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
