"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL214580";"";"0";"365.95";"0";"3.57";"5";"CCC(C)[C@@H](C[C@H](N)C(=O)N1CCCCC1)NCc1ccc(Cl)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL856335";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149358";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL197300";"";"0";"388.34";"0";"2.55";"60 [isomer B-1]";"N[C@@H](CC(=O)N1CCc2c(n[nH]c2C(F)(F)F)C1)Cc1cc(F)ccc1F";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"12.88";"0.25";"2.45";"6.67";"0";"CHEMBL827157";"Inhibitory concentration against human dipeptidylpeptidase 8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144438";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"None";""
"CHEMBL425200";"";"0";"459.59";"0";"4.66";"70";"CSc1ccc(-c2nc3c(s2)CN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)CC3)cc1";"IC50";"'='";"3300.0";"nM";"5.48";"";"";"UO_0000065";"11.93";"0.24";"0.82";"9.26";"0";"CHEMBL827157";"Inhibitory concentration against human dipeptidylpeptidase 8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144438";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"None";""
"CHEMBL236705";"";"0";"370.38";"0";"3.49";"(+)14a";"N[C@H]1CN(c2cc(-c3ccccc3)ncn2)C[C@@H]1c1cc(F)c(F)cc1F";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"14.91";"0.28";"2.03";"10.03";"0";"CHEMBL899733";"Inhibition of human recombinant DPP8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137469";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL472123";"";"0";"344.79";"0";"4.92";"24c";"N[C@H](Cc1cc(F)ccc1F)c1ccc(-c2ccncc2Cl)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL965323";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157442";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL510073";"";"0";"378.40";"0";"0.39";"20b";"N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1CC(F)(F)F)CN1CCCCC1=O";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"12.75";"0.25";"4.43";"5.04";"0";"CHEMBL965323";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157442";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL399402";"";"0";"464.50";"1";"5.75";"2c";"CC[C@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1P(=O)(Oc1ccccc1)Oc1ccccc1";"IC50";"'='";"36000.0";"nM";"4.44";"";"";"UO_0000065";"9.57";"0.18";"-1.31";"5.43";"0";"CHEMBL901593";"Inhibition of human DPP8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138263";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL238114";"";"0";"679.71";"2";"5.63";"7b";"CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)[C@H](CCCCN)NC(=O)OCc2ccccc2)cc1";"IC50";"'='";"43000.0";"nM";"4.37";"";"";"UO_0000065";"6.42";"0.12";"-1.26";"2.45";"0";"CHEMBL901593";"Inhibition of human DPP8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138263";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL237672";"";"0";"417.40";"0";"2.49";"6e";"NC(=O)C[C@H](N)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL901593";"Inhibition of human DPP8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138263";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL245969";"";"0";"572.53";"0";"2.17";"10";"CN(C)C(=O)[C@@H](c1ccc(N(C)C(=O)c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL887124";"Inhibition of human DPP8 after 15 mins by continuous fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139199";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
