"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL134440";"";"0";"368.39";"0";"1.70";"17";"O=C(CCNC(=O)c1ccccc1)OC(=O)CCNC(=O)c1ccccc1";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"15.81";"0.29";"4.12";"5.73";"0";"CHEMBL762426";"Inhibitory activity against porcine pancreatic trypsin (TRP)";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132518";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL87947";"";"0";"672.68";"1";"0.26";"5";"COc1ccc2c(c1)CC[C@H](NS(=O)(=O)Cc1ccccc1)C(=O)N2CC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"12.46";"0.24";"6.70";"3.91";"0";"CHEMBL873901";"In vitro evaluation of inhibition of cleavage of the chromogenic substrate by human enzyme trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131963";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL329908";"";"0";"681.86";"1";"3.87";"ORG-37476";"COc1cc(C)c(S(=O)(=O)N[C@@H](CC(=O)OC(C)(C)C)C(=O)NC(Cc2ccc3c(N)nccc3c2)C(=O)N2CCCCC2)c(C)c1C";"IC50";"'='";"378000.0";"nM";"3.42";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL817900";"In vitro trypsin inhibition";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131999";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL71037";"";"0";"425.49";"0";"-0.80";"1, BMS-262084";"CC(C)(C)NC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1";"IC50";"'='";"4.5";"nM";"8.35";"";"";"UO_0000065";"19.62";"0.38";"9.15";"4.78";"0";"CHEMBL817892";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147563";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL323783";"";"0";"505.02";"1";"4.22";"8t";"NCc1ccc(Cl)c(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1";"IC50";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"12.76";"0.24";"2.22";"6.16";"0";"CHEMBL820681";"Compound was tested for inhibition of human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139445";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL357708";"";"0";"285.30";"0";"2.22";"5";"COc1cccc(OC(=O)c2ccc(NC(=N)N)cc2)c1";"IC50";"'='";"16.5";"nM";"7.78";"";"";"UO_0000065";"27.28";"0.51";"5.56";"7.99";"0";"CHEMBL815475";"Inhibition of human trypsin and the control activity being 7.3 umol/min/mg";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123155";"1";"Scientific Literature";"J. Med. Chem.";"1986";"None";""
"CHEMBL3143646";"";"0";"510.64";"1";"2.48";"2k";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)CCCN";"IC50";"'='";"400000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL821452";"Evaluated for the inhibition of trypsin.(no inhibition at 400 uM)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124970";"1";"Scientific Literature";"J. Med. Chem.";"1990";"None";""
"CHEMBL130420";"";"0";"448.61";"0";"4.87";"1k";"CC1CCCC(C)N1CCCCCN1C(=O)C(c2ccc(C(=N)N)cc2)Oc2ccccc21";"IC50";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"10.89";"0.20";"0.02";"5.91";"0";"CHEMBL816971";"In vitro inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133480";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL99622";"";"0";"234.32";"0";"2.87";"alpha-Phenylthio";"O=C1O[C@H]2CCC[C@@H]2[C@H]1Sc1ccccc1";"IC50";"'='";"0.12";"nM";"9.92";"";"";"UO_0000065";"42.34";"0.85";"7.05";"37.72";"0";"CHEMBL820677";"Inhibition of trypsin";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130641";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";"None";""
"CHEMBL82524";"";"0";"402.50";"0";"-0.66";"alpha (R)-CVS 1897";"N=C(N)N1CCC[C@H](NC(=O)CN2CCC[C@@](N)(Cc3ccccc3)C2=O)[C@H]1O";"IC50";"'='";"139.0";"nM";"6.86";"";"";"UO_0000065";"17.04";"0.32";"7.52";"4.61";"0";"CHEMBL821313";"In vitro inhibitory activity was evaluated against human trypsin cleavage of the chromogenic substrate";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130963";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";"None";""
"CHEMBL319930";"";"0";"494.64";"0";"1.19";"5a";"CC(C)(C)OC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N)C1CCCCC1";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"15.94";"0.31";"6.70";"4.66";"0";"CHEMBL816975";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126581";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None";""
"CHEMBL321145";"";"0";"470.57";"0";"3.56";"8l";"NCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1";"IC50";"'>'";"130.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL820681";"Compound was tested for inhibition of human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139445";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL99630";"";"0";"375.47";"0";"4.01";"6";"C/C(=C1\CC(=O)N(c2ccc(C(C)(C)C)cc2)C1=O)c1cccc(C(=N)N)c1";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"16.78";"0.31";"2.29";"7.22";"0";"CHEMBL817898";"Inhibitory concentration required against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136273";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";"None";""
"CHEMBL131704";"";"0";"508.66";"2";"5.31";"11";"CCCC(NC(=O)c1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCC)NC(=O)c1ccccc1";"IC50";"'='";"8800.0";"nM";"5.06";"";"";"UO_0000065";"9.94";"0.19";"-0.25";"4.98";"0";"CHEMBL762426";"Inhibitory activity against porcine pancreatic trypsin (TRP)";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132518";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
