"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1270149";"";"0";"456.62";"1";"5.14";"(R)-3, DPP-0013";"CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OC[C@H](O)CO)c(C)c1";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1274500";"Vitamin-D activity at VDR receptor in human HL60 cells assessed as induction of cell differentiation by NBT reduction assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1268942";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307654";""
"CHEMBL1270746";"";"0";"560.78";"2";"7.14";"15c";"CCC(CC)(c1ccc(OCC(=O)C(C)(C)CCCc2ccccc2)c(C)c1)c1ccc(OC[C@@H](O)CO)c(C)c1";"EC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1274500";"Vitamin-D activity at VDR receptor in human HL60 cells assessed as induction of cell differentiation by NBT reduction assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1268942";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307654";""
"CHEMBL403670";"";"0";"458.64";"0";"4.93";"YR303 (2R,2'R)";"CCC(CC)(c1ccc(OC[C@H](O)CO)c(C)c1)c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1";"EC50";"'='";"22.1";"nM";"7.66";"";"";"UO_0000065";"16.69";"0.32";"2.73";"9.67";"0";"CHEMBL948044";"Effect on VDR transcriptional activity in human Caco-2 cells in presence of 5% fetal calf serum";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Caco-2";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143855";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307519";""
"CHEMBL403885";"";"0";"458.64";"0";"4.93";"(S,S)-2, LG190178";"CCC(CC)(c1ccc(OC[C@@H](O)CO)c(C)c1)c1ccc(OC[C@@H](O)C(C)(C)C)c(C)c1";"EC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"16.65";"0.32";"2.71";"9.65";"0";"CHEMBL1274500";"Vitamin-D activity at VDR receptor in human HL60 cells assessed as induction of cell differentiation by NBT reduction assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1268942";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307654";""
"CHEMBL1271360";"";"0";"533.71";"1";"4.77";"16g";"CCC(CC)(c1ccc(OC[C@@H](O)CO)c(C)c1)c1ccc(O[C@@H]2CN(Cc3ccccc3)C[C@@H]2O)c(C)c1";"EC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1274500";"Vitamin-D activity at VDR receptor in human HL60 cells assessed as induction of cell differentiation by NBT reduction assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1268942";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307654";""
"CHEMBL467212";"";"0";"506.77";"2";"6.90";"2b, ADNY";"C=C1[C@H](O)CC(=C/C=C2\CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C23CC4CC(CC(C4)C2)C3)C[C@H]1O";"EC50";"'='";"0.02";"nM";"10.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1007257";"Agonist activity at VDR assessed as receptor transactivation by transient transcription assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140045";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL3263871";"";"0";"518.78";"2";"6.73";"4b";"C=C1[C@H](O)CC(=C/C=C2\CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CC#C[C@@H](O)C23CC4CC(CC(C4)C2)C3)C[C@H]1O";"EC50";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"17.01";"0.32";"2.09";"14.54";"0";"CHEMBL3270853";"Activation of human VDR expressed in HEK293 cells cotransfected CMX-GAL4-SRC1 and 4-tk-LUC assessed as SRC1 interaction with AF2 surface of VDR by mammalian two-hybrid assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259615";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL846";"CALCITRIOL";"4";"416.65";"1";"5.70";"1; 1,25(OH)2D3";"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O";"EC50";"'='";"0.12";"nM";"9.92";"";"";"UO_0000065";"23.81";"0.45";"4.22";"16.35";"0";"CHEMBL3751601";"Agonist activity at VDR in human HEK293 cells assessed as transcriptional activity after 16 to 24 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745604";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL2172537";"";"0";"516.81";"2";"6.87";"5c";"C=C1/C(=C\C=C2/CC[C@@H](CCCCCCC(C)(C)O)[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCO)C[C@@H](O)C[C@@H]1O";"EC50";"'='";"5.74";"nM";"8.24";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2175861";"Agonist activity at VDR in human MCF7 cells assessed as transcription of CYP24A1 gene after 24 hrs by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169862";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308403";""
"CHEMBL2437043";"";"0";"458.64";"0";"4.43";"2e";"CCn1c(C(=O)NCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1";"EC50";"'='";"5640.0";"nM";"5.25";"";"";"UO_0000065";"11.44";"0.22";"0.82";"6.27";"0";"CHEMBL2438487";"Agonist activity at VDR in human HL60 cells assessed as induction of cell differentiation after 96 hrs by NBT reduction assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2434875";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2013";"CHEMBL3307654";""
