"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL137890";"";"0";"347.46";"1";"5.98";"19";"C/C=C/C1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3";"EC50";"'='";"144.0";"nM";"6.84";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694626";"Effective concentration in HepG2 cells transfected with LUC gene (E-sel-Luc).";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134311";"1";"Scientific Literature";"J. Med. Chem.";"2001";"CHEMBL3307718";""
"CHEMBL717";"MEDROXYPROGESTERONE ACETATE";"4";"386.53";"0";"4.66";"MPA";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C";"EC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL683925";"Agonist activity against Human glucocorticoid receptor(hGR) expressed in CV-1 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131454";"1";"Scientific Literature";"J. Med. Chem.";"1998";"CHEMBL3308033";""
"CHEMBL239957";"";"0";"322.44";"0";"4.69";"14";"Cn1c(C#N)ccc1-c1ccc2[nH]c(=S)n(C3CCCC3)c2c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL898140";"Agonist activity at glucocorticoid receptor expressed in L929 cells by HRE-tk luciferase assay";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"L929";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149694";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"CHEMBL3307946";""
"CHEMBL243455";"";"0";"528.67";"2";"7.25";"6";"COc1c(O)ccc2c1-c1ccc3c(c1/C(=C/c1sccc1C(=O)N1CCCCC1)O2)C(C)=CC(C)(C)N3";"EC50";"'='";"0.3";"nM";"9.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL896154";"Agonist activity at human GR expressed in CV1 cells by GRE activation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148778";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308033";""
"CHEMBL244714";"";"0";"502.64";"2";"7.39";"24";"CCO/N=C(\C)c1ccsc1/C=C1\Oc2ccc(O)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3";"EC50";"'='";"1.9";"nM";"8.72";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL896172";"Antagonist activity at human GR expressed in CV1 cells by GRE activation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148778";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308033";""
"CHEMBL310420";"";"0";"402.51";"1";"5.36";"33";"C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)Cc1ccccc1";"EC50";"'='";"13.9";"nM";"7.86";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL620387";"Ability to induce human IL-6 assay in A549 lung carcinoma cell line.";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137074";"1";"Scientific Literature";"J. Med. Chem.";"2004";"CHEMBL3307651";""
"CHEMBL243656";"";"0";"515.55";"2";"7.22";"(-)-15";"COc1c(O)ccc2c1-c1ccc3c(c1/C(=C/c1sccc1C(O)C(F)(F)F)O2)C(C)=CC(C)(C)N3";"EC50";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL896172";"Antagonist activity at human GR expressed in CV1 cells by GRE activation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148778";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308033";""
"CHEMBL1911276";"";"0";"539.66";"2";"6.13";"39";"CC(C)(C(=O)Nc1nncs1)[C@H]1c2ccccc2Oc2nc(-c3ccc(C(=O)N4CCCCC4)cc3)ccc21";"EC50";"'='";"273.0";"nM";"6.56";"";"";"UO_0000065";"12.16";"0.23";"0.43";"6.75";"0";"CHEMBL1914165";"Transactivation activity at GR-alpha in human NP1 Hela cells assessed as induction of GAL4-DBD after 20 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909630";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308376";""
"CHEMBL1801009";"";"0";"370.45";"0";"4.78";"16";"CC(C)(C(=O)Nc1nccs1)C(c1ccccc1)c1ccc(O)c(F)c1";"EC50";"'='";"37.7";"nM";"7.42";"";"";"UO_0000065";"20.04";"0.39";"2.64";"11.93";"0";"CHEMBL1805666";"Transrepression activity of glucocorticoid receptor in human A549 cells assessed as inhibition of IL1beta-stimulated NFkappaB-dependent E-selectin transcription by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1799968";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3307651";""
"CHEMBL1801009";"";"0";"370.45";"0";"4.78";"16";"CC(C)(C(=O)Nc1nccs1)C(c1ccccc1)c1ccc(O)c(F)c1";"EC50";"'='";"216.4";"nM";"6.67";"";"";"UO_0000065";"17.99";"0.35";"1.88";"10.71";"0";"CHEMBL1805665";"Transactivation activity of glucocorticoid receptor ligand binding domain expressed in human NP-1 Hela cells co-expressing GAL4 DNA binding domain by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1799968";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308376";""
