"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL385680";"";"0";"338.30";"0";"4.33";"35";"CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nc(F)c3c1C2";"EC50";"'='";"8.3";"nM";"8.08";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL867406";"Agonist activity at human ERalpha transfected in HEK293 cells assessed as transactivation of alkaline phosphatase reporter gene";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146005";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307715";""
"CHEMBL1782958";"";"0";"281.67";"0";"3.37";"2d";"O/N=C/c1c(O)ccc(-c2ccc(O)c(F)c2)c1Cl";"EC50";"'='";"8.4";"nM";"8.08";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1785590";"Agonist activity at human full-length ERalpha receptor expressed in human HEC1 cells co-expressing (ERE)2-pS2-luc gene assessed as transcriptional activation after 24 hrs by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEC-1";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1781957";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";"CHEMBL3308740";""
"CHEMBL392000";"";"0";"342.52";"0";"4.64";"7";"C=CC[C@@H]1C2=CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)CC[C@@H]34)[C@@]2(C=C)CC[C@@H]1O";"EC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL886324";"Agonist activity at human recombinant ERalpha expressed in HEK293 cells by transactivation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139947";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL355432";"";"0";"352.24";"0";"3.80";"9a";"CN1C=[N+](C)[C@@H](c2ccc(O)cc2Cl)[C@H]1c1ccc(O)cc1Cl";"EC50";"'='";"780.0";"nM";"6.11";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL712013";"Concentration required to activate luciferase expression in MCF-7-2a cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148415";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL174131";"";"0";"313.18";"0";"3.10";"12";"N[C@@H](c1ccc(O)cc1Cl)[C@H](N)c1ccc(O)cc1Cl";"EC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL712013";"Concentration required to activate luciferase expression in MCF-7-2a cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148415";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL32459";"";"0";"258.30";"0";"3.69";"8";"Oc1ccc2cc(-c3ccc(O)c(O)c3)sc2c1";"EC50";"'='";"4980.0";"nM";"5.30";"";"";"UO_0000065";"20.53";"0.40";"1.61";"8.74";"0";"CHEMBL676811";"Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135900";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL35204";"";"0";"362.34";"0";"4.37";"8b";"O=c1c(-c2ccc(O)cc2)c(Oc2ccc(O)cc2)oc2cc(O)ccc12";"EC50";"'='";"1740.0";"nM";"5.76";"";"";"UO_0000065";"15.90";"0.29";"1.39";"5.75";"0";"CHEMBL677865";"Binding affinity for Estrogen receptor alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136709";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";"None";""
"CHEMBL132919";"";"0";"262.31";"0";"3.23";"dl-54";"C#CC(c1ccc(O)cc1)C(C#C)c1ccc(O)cc1";"EC50";"'='";"73.0";"nM";"7.14";"";"";"UO_0000065";"27.21";"0.49";"3.91";"17.64";"0";"CHEMBL841902";"Transcriptional potency (EC50) at Human estrogen receptor alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134292";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL74027";"";"0";"364.19";"0";"3.86";"4l";"CC1(C)Oc2cc(O)cc(O)c2N=C1c1ccc(O)c(Br)c1";"EC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL676806";"Ability to activate estrogen receptor 1-mediated transcription.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148236";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL424725";"";"0";"517.67";"2";"6.49";"7f";"O=C1CCC2(Cc3ccccc3)Cc3c(ccc4[nH]ncc34)C2=C1c1ccc(OCCN2CCCCC2)cc1";"EC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL867424";"Activity at ERalpha L384M/M421G/G521R mutant in HeLa cells assessed as activation of SEAP reporter gene";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149487";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3308376";""
"CHEMBL369247";"";"0";"337.21";"0";"4.16";"7a";"CN1C=N[C@@H](c2ccc(O)cc2Cl)[C@H]1c1ccc(O)cc1Cl";"EC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL712013";"Concentration required to activate luciferase expression in MCF-7-2a cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148415";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL335620";"";"0";"332.27";"0";"4.62";"64b";"Oc1ccc(CC(c2ccc(O)cc2)C(F)(F)C(F)(F)F)cc1";"EC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"22.20";"0.44";"2.76";"18.23";"0";"CHEMBL841902";"Transcriptional potency (EC50) at Human estrogen receptor alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134292";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
