"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL419019";"";"0";"448.52";"1";"5.89";"37";"CCC1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccccc4)cc3)cc2O1";"EC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"14.84";"0.28";"0.77";"8.97";"0";"CHEMBL763847";"In vitro potency of PPAR gene activation against human Peroxisome proliferator activated receptor alpha using chimeric Gal4-hPPAR transactivation assay (TA)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149176";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL324449";"";"0";"476.57";"1";"6.45";"8";"CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc2c(c1)OC(C)(C(=O)O)CC2";"EC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"14.69";"0.27";"0.55";"9.43";"0";"CHEMBL763847";"In vitro potency of PPAR gene activation against human Peroxisome proliferator activated receptor alpha using chimeric Gal4-hPPAR transactivation assay (TA)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149176";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL377660";"";"0";"448.56";"1";"6.60";"14";"CCc1ccc(O[C@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(Oc2ccccc2)c1";"EC50";"'='";"1524.0";"nM";"5.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL911537";"Transactivation of human PPARalpha in CV1 cells by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149342";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3308033";""
"CHEMBL364748";"";"0";"276.72";"0";"3.41";"1";"O=C(O)[C@H](Cc1ccccc1)Oc1ccc(Cl)cc1";"EC50";"'='";"14460.0";"nM";"4.84";"";"";"UO_0000065";"17.49";"0.35";"1.43";"10.40";"0";"CHEMBL942181";"Agonist activity at human PPARalpha ligand binding domain expressed in human HepG2 cells co-transfected with Gal4 by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152254";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3307718";""
"CHEMBL215582";"";"0";"476.57";"1";"5.96";"7";"CCc1ccc(OC(C)CCOc2ccc(OC(C)(C)C(=O)O)cc2)c(C(=O)c2ccccc2)c1";"EC50";"'='";"686.0";"nM";"6.16";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL911537";"Transactivation of human PPARalpha in CV1 cells by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149342";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3308033";""
"CHEMBL486364";"";"0";"355.62";"0";"4.18";"(+/-)-12";"O=C(O)C(Cc1ccccc1Br)Oc1ccc(Cl)cc1";"EC50";"'='";"2250.0";"nM";"5.65";"";"";"UO_0000065";"15.88";"0.39";"1.47";"12.14";"0";"CHEMBL942181";"Agonist activity at human PPARalpha ligand binding domain expressed in human HepG2 cells co-transfected with Gal4 by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152254";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3307718";""
"CHEMBL486365";"";"0";"318.80";"0";"4.37";"14";"CCCc1ccccc1CC(Oc1ccc(Cl)cc1)C(=O)O";"EC50";"'='";"1430.0";"nM";"5.84";"";"";"UO_0000065";"18.33";"0.36";"1.47";"12.56";"0";"CHEMBL942181";"Agonist activity at human PPARalpha ligand binding domain expressed in human HepG2 cells co-transfected with Gal4 by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152254";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3307718";""
"CHEMBL1828828";"";"0";"352.43";"0";"4.85";"35";"CC(C)(CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1)C(=O)O";"EC50";"'='";"61500.0";"nM";"4.21";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1831689";"Agonist activity at Gal4-fused PPARalpha expressed in HEK293 cells after 18 hrs by dual luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828598";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL190665";"";"0";"320.43";"0";"4.43";"9";"CCCc1cc(C(=O)CC)cc(CCC)c1OC(C)(C)C(=O)O";"EC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"24.97";"0.48";"3.57";"12.58";"0";"CHEMBL839772";"Effective concentration against human Peroxisome proliferator activated receptor alpha in Gal4 transactivation assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143558";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL121";"ROSIGLITAZONE";"4";"357.44";"0";"2.49";"Rosiglitazone";"CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL839772";"Effective concentration against human Peroxisome proliferator activated receptor alpha in Gal4 transactivation assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143558";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
