"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL214026";"";"0";"454.95";"1";"6.69";"15";"Cc1cc(OCC[C@@H](C)Oc2ccc(Cl)cc2Oc2ccccc2)ccc1CCC(=O)O";"EC50";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL911539";"Transactivation of human PPARgamma in CV1 cells by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149342";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3308033";""
"CHEMBL377660";"";"0";"448.56";"1";"6.60";"14";"CCc1ccc(O[C@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(Oc2ccccc2)c1";"EC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL911539";"Transactivation of human PPARgamma in CV1 cells by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CV-1";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149342";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3308033";""
"CHEMBL212993";"";"0";"417.46";"0";"3.34";"16";"CCCc1c(OCCCOc2ccc(OCC(=O)OC)cc2)cnc(C(C)=O)c1O";"EC50";"'='";"757.0";"nM";"6.12";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL854666";"Activity at PPARgamma by luciferase reporter gene transactivation assay in COS7 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146916";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307648";""
"CHEMBL373785";"";"0";"416.47";"0";"3.95";"5";"CCCc1c(OCCCOc2ccc(OCC(=O)OC)cc2)ccc(C(C)=O)c1O";"EC50";"'='";"288.0";"nM";"6.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL854666";"Activity at PPARgamma by luciferase reporter gene transactivation assay in COS7 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146916";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307648";""
"CHEMBL356350";"";"0";"415.49";"1";"5.32";"ent-2";"CC(/C=C(\O)c1ccccc1)=N\[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O";"EC50";"'='";"21877.62";"nM";"4.66";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL758987";"Activation of peroxisome proliferator activated receptor gamma measured by induction of 50% of maximum alkaline phosphatase activity, transfection assay in CV-1 cells";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CV-1";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131422";"1";"Scientific Literature";"J. Med. Chem.";"1998";"CHEMBL3308033";""
"CHEMBL192521";"";"0";"493.52";"1";"6.39";"51";"CCCc1cc2c(oc(=O)n2CC(F)(F)F)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1";"EC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL832684";"Agonist response against human PPAR gamma in transactivation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL212666";"";"0";"424.31";"1";"5.71";"9";"Cc1cc(SCc2cc(-c3c(Cl)cccc3Cl)no2)ccc1OCC(=O)O";"EC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL867360";"Agonist activity at PPARgamma by transactivation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145320";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL474947";"";"0";"480.52";"1";"5.14";"4a";"Cc1oc(-c2ccccc2)nc1CCOc1ccc(Cc2nn(-c3ccccc3)nc2C(=O)O)cc1";"EC50";"'='";"9270.0";"nM";"5.03";"";"";"UO_0000065";"10.47";"0.19";"-0.11";"4.87";"0";"CHEMBL953559";"Agonist activity at human PPARgamma ligand binding domain expressed in HEK293 cells by Gal4 transactivation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153276";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307715";""
"CHEMBL474550";"";"0";"480.52";"1";"5.14";"4c";"Cc1oc(-c2ccccc2)nc1CCOc1ccc(Cc2nnn(-c3ccccc3)c2C(=O)O)cc1";"EC50";"'='";"5800.0";"nM";"5.24";"";"";"UO_0000065";"10.90";"0.20";"0.10";"5.07";"0";"CHEMBL953559";"Agonist activity at human PPARgamma ligand binding domain expressed in HEK293 cells by Gal4 transactivation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153276";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307715";""
"CHEMBL190517";"";"0";"425.53";"1";"5.36";"47";"CCCc1cc2c(oc(=O)n2C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1";"EC50";"'='";"640.0";"nM";"6.19";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL832684";"Agonist response against human PPAR gamma in transactivation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL38508";"";"0";"471.50";"1";"6.34";"7l GW-0742";"Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)c(F)c3)nc2C)ccc1OCC(=O)O";"EC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"12.09";"0.25";"-0.64";"9.59";"0";"CHEMBL759444";"Maximum transcriptional activation of human PPAR gamma receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136424";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";"None";""
